  Filter   RA_diff  DEC_diff    Mag_obs    Mag_cal  ref_in  Mag_diff  pct_im   std_obs      Diff
0      V  0.000109  0.000056  14.260324  14.273025       1 -0.012701     1.0  0.013764  0.012701
1      V  0.000105  0.000055  14.922602  14.919133       1  0.003468     1.0  0.010524  0.003468
2      V  0.000109  0.000055  14.917324  14.930785       1 -0.013461     1.0  0.009058  0.013461
3      V  0.000100  0.000061  15.072546  15.089972       1 -0.017426     1.0  0.015132  0.017426
4      V  0.000093  0.000046  15.185824  15.189565       1 -0.003741     1.0  0.016033  0.003741
5      V  0.000096  0.000063  15.412935  15.412107       1  0.000828     1.0  0.010156  0.000828
6      V  0.000094  0.000066  15.430990  15.419053       1  0.011937     1.0  0.022853  0.011937
7      V  0.000083  0.000051  15.469824  15.454053       1  0.015771     1.0  0.030308  0.015771
8      V  0.000115  0.000051  15.507713  15.496215       1  0.011498     1.0  0.018345  0.011498
0      B  0.000113  0.000059  15.108634  15.123848       1 -0.015214     1.0  0.027713  0.015214
1      B  0.000104  0.000056  15.804634  15.779603       1  0.025031     1.0  0.029808  0.025031
2      B  0.000103  0.000051  15.793912  15.809481       1 -0.015569     1.0  0.014494  0.015569
3      B  0.000105  0.000060  15.941245  15.955800       1 -0.014555     1.0  0.009078  0.014555
4      B  0.000102  0.000045  16.029634  16.048964       1 -0.019329     1.0  0.020098  0.019329
5      B  0.000092  0.000061  16.276245  16.280079       1 -0.003834     1.0  0.021531  0.003834
6      B  0.000091  0.000071  16.298745  16.262377       1  0.036368     1.0  0.023010  0.036368
7      B  0.000087  0.000043  16.304912  16.297377       1  0.007535     1.0  0.016731  0.007535
8      B  0.000112  0.000046  16.338412  16.334181       1  0.004231     1.0  0.008858  0.004231
0      R  0.000077  0.000050  13.728913  13.736894       1 -0.007981     1.0       NaN  0.007981
1      R  0.000069  0.000048  14.365913  14.377165       1 -0.011252     1.0       NaN  0.011252
2      R  0.000084  0.000050  14.365913  14.377784       1 -0.011871     1.0       NaN  0.011871
3      R  0.000073  0.000054  14.531913  14.544760       1 -0.012847     1.0       NaN  0.012847
4      R  0.000066  0.000043  14.652913  14.648246       1  0.004667     1.0       NaN  0.004667
5      R  0.000073  0.000058  14.861913  14.865597       1 -0.003684     1.0       NaN  0.003684
6      R  0.000059  0.000055  14.893913  14.887458       1  0.006455     1.0       NaN  0.006455
7      R  0.000044  0.000045  14.936913  14.922458       1  0.014455     1.0       NaN  0.014455
8      R  0.000077  0.000044  14.989913  14.967861       1  0.022052     1.0       NaN  0.022052
