;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59058.472697	0.125	16.119	16.106	16.132	20.55946	V	m15_data/M15-3_20200728_112041_d231_Nickel_V_c.fit
59058.47162	0.04167	16.123	16.11	16.136	20.09788	V	m15_data/M15-3_20200728_111908_d230_Nickel_V_c.fit
59058.470567	0.01389	16.107	16.087	16.127	19.178	V	m15_data/M15-3_20200728_111737_d229_Nickel_V_c.fit
59058.440949	0.125	16.078	16.067	16.089	21.10267	V	m15_data/M15-3_20200728_103458_d211_Nickel_V_c.fit
59058.439861	0.04167	16.059	16.047	16.071	20.39103	V	m15_data/M15-3_20200728_103324_d210_Nickel_V_c.fit
59058.439248	0.01389	16.067	16.048	16.086	19.84196	V	m15_data/M15-3_20200728_103231_d209_Nickel_V_c.fit
59058.403495	0.125	15.971	15.961	15.981	21.09777	V	m15_data/M15-3_20200728_094102_d195_Nickel_V_c.fit
59058.402361	0.04167	15.977	15.965	15.989	20.23794	V	m15_data/M15-3_20200728_093924_d194_Nickel_V_c.fit
59058.401586	0.01389	15.942	15.923	15.961	19.40902	V	m15_data/M15-3_20200728_093817_d193_Nickel_V_c.fit
59058.369572	0.125	15.863	15.854	15.872	21.33054	V	m15_data/M15-3_20200728_085211_d179_Nickel_V_c.fit
59058.368438	0.04167	15.856	15.842	15.87	20.66667	V	m15_data/M15-3_20200728_085033_d178_Nickel_V_c.fit
59058.36772	0.01389	15.858	15.843	15.873	19.98488	V	m15_data/M15-3_20200728_084931_d177_Nickel_V_c.fit
59058.350093	0.125	15.822	15.813	15.831	21.232	V	m15_data/M15-3_20200728_082408_d167_Nickel_V_c.fit
59058.348912	0.04167	15.805	15.794	15.816	20.54425	V	m15_data/M15-3_20200728_082226_d166_Nickel_V_c.fit
59058.348218	0.01389	15.817	15.804	15.83	19.81756	V	m15_data/M15-3_20200728_082126_d165_Nickel_V_c.fit
59058.331053	0.125	15.776	15.769	15.783	20.95772	V	m15_data/M15-3_20200728_075643_d155_Nickel_V_c.fit
59058.329954	0.04167	15.775	15.766	15.784	20.38532	V	m15_data/M15-3_20200728_075508_d154_Nickel_V_c.fit
59058.329271	0.01389	15.76	15.744	15.776	19.37193	V	m15_data/M15-3_20200728_075409_d153_Nickel_V_c.fit
59054.424525	0.125	16.048	16.036	16.06	20.81904	V	m15_data/M15-3_20200724_101119_d204_Nickel_V_c.fit
59054.423426	0.04167	16.048	16.036	16.06	20.16789	V	m15_data/M15-3_20200724_100944_d203_Nickel_V_c.fit
59054.422778	0.01389	16.011	15.989	16.033	19.25769	V	m15_data/M15-3_20200724_100848_d202_Nickel_V_c.fit
59054.349282	0.125	15.846	15.837	15.855	20.7469	V	m15_data/M15-3_20200724_082258_d172_Nickel_V_c.fit
59054.348032	0.04167	15.859	15.847	15.871	20.03424	V	m15_data/M15-3_20200724_082110_d171_Nickel_V_c.fit
59054.347361	0.01389	15.83	15.812	15.848	19.21168	V	m15_data/M15-3_20200724_082012_d170_Nickel_V_c.fit
59051.336505	0.125	16.143	16.131	16.155	20.92444	V	m15_data/M15-3_20200721_080434_d153_Nickel_V_c.fit
59051.335139	0.04167	16.133	16.122	16.144	20.32194	V	m15_data/M15-3_20200721_080236_d152_Nickel_V_c.fit
59051.334016	0.01389	16.124	16.107	16.141	19.42646	V	m15_data/M15-3_20200721_080059_d151_Nickel_V_c.fit
59043.364271	0.125	16.076	16.066	16.086	20.81349	V	m15_data/M15-3_20200713_084433_d188_Nickel_V_c.fit
59043.362928	0.04167	16.096	16.084	16.108	20.24039	V	m15_data/M15-3_20200713_084237_d187_Nickel_V_c.fit
