;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59058.472697	0.125	13.012	12.982	13.042	20.55946	V	m15_data/M15-3_20200728_112041_d231_Nickel_V_c.fit
59058.47162	0.04167	13.09	13.074	13.106	20.09788	V	m15_data/M15-3_20200728_111908_d230_Nickel_V_c.fit
59058.470567	0.01389	13.013	12.984	13.042	19.178	V	m15_data/M15-3_20200728_111737_d229_Nickel_V_c.fit
59058.440949	0.125	13.075	13.056	13.094	21.10267	V	m15_data/M15-3_20200728_103458_d211_Nickel_V_c.fit
59058.439861	0.04167	13.082	13.061	13.103	20.39103	V	m15_data/M15-3_20200728_103324_d210_Nickel_V_c.fit
59058.439248	0.01389	13.097	13.078	13.116	19.84196	V	m15_data/M15-3_20200728_103231_d209_Nickel_V_c.fit
59058.403495	0.125	13.089	13.073	13.105	21.09777	V	m15_data/M15-3_20200728_094102_d195_Nickel_V_c.fit
59058.402361	0.04167	13.077	13.059	13.095	20.23794	V	m15_data/M15-3_20200728_093924_d194_Nickel_V_c.fit
59058.401586	0.01389	13.077	13.06	13.094	19.40902	V	m15_data/M15-3_20200728_093817_d193_Nickel_V_c.fit
59058.369572	0.125	13.14	13.122	13.158	21.33054	V	m15_data/M15-3_20200728_085211_d179_Nickel_V_c.fit
59058.368438	0.04167	13.118	13.1	13.136	20.66667	V	m15_data/M15-3_20200728_085033_d178_Nickel_V_c.fit
59058.36772	0.01389	13.117	13.098	13.136	19.98488	V	m15_data/M15-3_20200728_084931_d177_Nickel_V_c.fit
59058.350093	0.125	13.132	13.113	13.151	21.232	V	m15_data/M15-3_20200728_082408_d167_Nickel_V_c.fit
59058.348912	0.04167	13.115	13.097	13.133	20.54425	V	m15_data/M15-3_20200728_082226_d166_Nickel_V_c.fit
59058.348218	0.01389	13.11	13.092	13.128	19.81756	V	m15_data/M15-3_20200728_082126_d165_Nickel_V_c.fit
59058.331053	0.125	13.114	13.1	13.128	20.95772	V	m15_data/M15-3_20200728_075643_d155_Nickel_V_c.fit
59058.329954	0.04167	13.113	13.099	13.127	20.38532	V	m15_data/M15-3_20200728_075508_d154_Nickel_V_c.fit
59058.329271	0.01389	13.09	13.062	13.118	19.37193	V	m15_data/M15-3_20200728_075409_d153_Nickel_V_c.fit
59054.424525	0.125	13.108	13.088	13.128	20.81904	V	m15_data/M15-3_20200724_101119_d204_Nickel_V_c.fit
