  Filter   RA_diff  DEC_diff    Mag_obs    Mag_cal  ref_in  Mag_diff  pct_im   std_obs      Diff
0      V  0.000095  0.000064  14.393613  14.395865       1 -0.002252     1.0  0.014736  0.002252
1      V  0.000098  0.000067  14.588363  14.553714       1  0.034649     1.0  0.014014  0.034649
2      V  0.000120  0.000077  15.496363  15.516245       1 -0.019882     1.0  0.026960  0.019882
3      V  0.000116  0.000082  15.663113  15.678872       1 -0.015759     1.0  0.034030  0.015759
4      V  0.000099  0.000068  15.909863  15.904249       1  0.005614     1.0  0.014118  0.005614
5      V  0.000118  0.000068  15.989238  15.965824       1  0.023414     1.0  0.027297  0.023414
6      V  0.000107  0.000068  15.992488  15.991126       1  0.001362     1.0  0.021195  0.001362
7      V  0.000117  0.000073  16.013488  16.044006       1 -0.030518     1.0  0.022373  0.030518
0      B  0.000092  0.000080  15.351757  15.346445       1  0.005312     1.0  0.007679  0.005312
1      B  0.000095  0.000078  15.488445  15.454930       1  0.033515     1.0  0.004311  0.033515
2      B  0.000110  0.000092  16.319757  16.346712       1 -0.026955     1.0  0.009594  0.026955
3      B  0.000111  0.000098  16.475445  16.495411       1 -0.019966     1.0  0.011128  0.019966
4      B  0.000099  0.000080  16.468195  16.498446       1 -0.030251     1.0  0.007953  0.030251
5      B  0.000125  0.000077  16.203695  16.170902       1  0.032793     1.0  0.011402  0.032793
6      B  0.000112  0.000079  16.154257  16.137962       1  0.016295     1.0  0.009287  0.016295
7      B  0.000120  0.000084  16.224445  16.234253       1 -0.009808     1.0  0.006621  0.009808
0      R  0.000075  0.000062  13.795633  13.799267       1 -0.003634     1.0       NaN  0.003634
1      R  0.000082  0.000064  14.000633  13.987066       1  0.013566     1.0       NaN  0.013566
2      R  0.000110  0.000078  14.974633  14.992424       1 -0.017791     1.0       NaN  0.017791
3      R  0.000107  0.000086  15.140633  15.163467       1 -0.022835     1.0       NaN  0.022835
4      R  0.000079  0.000069  15.518633  15.522571       1 -0.003938     1.0       NaN  0.003938
5      R  0.000109  0.000071  15.834633  15.815263       1  0.019370     1.0       NaN  0.019370
6      R  0.000099  0.000072  15.896633  15.874833       1  0.021799     1.0       NaN  0.021799
7      R  0.000110  0.000081  15.895633  15.902178       1 -0.006545     1.0       NaN  0.006545
