;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59039.41963	0.125	15.887	15.881	15.893	20.25381	V	m15_data/M15-4_20200709_100416_d179_Nickel_V_c.fit
59039.41853	0.04167	15.886	15.877	15.895	19.67121	V	m15_data/M15-4_20200709_100241_d178_Nickel_V_c.fit
59039.417789	0.01389	15.887	15.871	15.903	19.04059	V	m15_data/M15-4_20200709_100137_d177_Nickel_V_c.fit
59030.467917	0.04167	16.178	16.167	16.189	20.35814	B	m15_data/M15-4_20200630_111348_d194_Nickel_B_c.fit
59030.465266	0.125	15.838	15.833	15.843	21.01523	V	m15_data/M15-4_20200630_110959_d193_Nickel_V_c.fit
59030.463958	0.04167	15.826	15.819	15.833	20.28256	V	m15_data/M15-4_20200630_110806_d192_Nickel_V_c.fit
59030.463079	0.01389	15.8	15.786	15.814	19.33846	V	m15_data/M15-4_20200630_110650_d191_Nickel_V_c.fit
59026.471366	0.125	16.032	16.026	16.038	20.66726	V	m15_data/M15-4_20200626_111846_d163_Nickel_V_c.fit
59026.469861	0.04167	16.037	16.028	16.046	19.98252	V	m15_data/M15-4_20200626_111636_d162_Nickel_V_c.fit
59026.468808	0.01389	16.025	16.01	16.04	19.24618	V	m15_data/M15-4_20200626_111505_d161_Nickel_V_c.fit
59022.407407	0.125	16.116	16.109	16.123	20.49199	V	m15_data/M15-4_20200622_094640_d142_Nickel_V_c.fit
59022.406146	0.04167	16.126	16.116	16.136	20.01382	V	m15_data/M15-4_20200622_094451_d141_Nickel_V_c.fit
59022.405336	0.01389	16.126	16.109	16.143	19.22186	V	m15_data/M15-4_20200622_094341_d140_Nickel_V_c.fit
59018.45022	0.125	15.794	15.789	15.799	20.3415	V	m15_data/M15-4_20200618_104819_d203_Nickel_V_c.fit
59018.448889	0.04167	15.802	15.794	15.81	19.80048	V	m15_data/M15-4_20200618_104624_d202_Nickel_V_c.fit
59018.447303	0.01389	15.813	15.8	15.826	18.89058	V	m15_data/M15-4_20200618_104407_d201_Nickel_V_c.fit
59010.449734	0.125	15.916	15.911	15.921	20.7585	V	m15_data/M15-4_20200610_104737_d184_Nickel_V_c.fit
59010.448588	0.04167	15.912	15.904	15.92	20.11493	V	m15_data/M15-4_20200610_104558_d183_Nickel_V_c.fit
59010.447882	0.01389	15.927	15.913	15.941	19.25002	V	m15_data/M15-4_20200610_104457_d182_Nickel_V_c.fit
58994.489965	0.04167	15.607	15.599	15.615	20.15833	R	m15_data/M15-4_20200525_114533_d185_Nickel_R_c.fit
58994.487488	0.125	15.84	15.835	15.845	20.72093	V	m15_data/M15-4_20200525_114159_d184_Nickel_V_c.fit
58994.4864	0.04167	15.824	15.817	15.831	20.36513	V	m15_data/M15-4_20200525_114025_d183_Nickel_V_c.fit
58994.485775	0.01389	15.826	15.814	15.838	19.33814	V	m15_data/M15-4_20200525_113931_d182_Nickel_V_c.fit
58994.483206	0.125	16.164	16.156	16.172	21.00244	B	m15_data/M15-4_20200525_113549_d181_Nickel_B_c.fit
58994.482118	0.04167	16.151	16.14	16.162	20.28649	B	m15_data/M15-4_20200525_113415_d180_Nickel_B_c.fit
58994.481435	0.01389	16.179	16.16	16.198	19.22576	B	m15_data/M15-4_20200525_113316_d179_Nickel_B_c.fit
58990.498657	0.125	15.889	15.882	15.896	19.55871	V	m15_data/M15-4_20200521_115804_d208_Nickel_V_c.fit
58990.497593	0.04167	15.875	15.865	15.885	19.23313	V	m15_data/M15-4_20200521_115632_d207_Nickel_V_c.fit
58990.496968	0.01389	15.877	15.86	15.894	18.64796	V	m15_data/M15-4_20200521_115538_d206_Nickel_V_c.fit
58805.193322	0.125	15.988	15.983	15.993	20.09888	V	m15_data/M15-4_20191118_043823_d169_Nickel_V_c.fit
58805.192118	0.04167	15.982	15.972	15.992	19.54903	V	m15_data/M15-4_20191118_043639_d168_Nickel_V_c.fit
58805.191412	0.01389	15.969	15.951	15.987	18.85622	V	m15_data/M15-4_20191118_043538_d167_Nickel_V_c.fit
58805.103056	0.125	15.792	15.788	15.796	20.77363	V	m15_data/M15-4_20191118_022824_d141_Nickel_V_c.fit
58805.101377	0.04167	15.785	15.778	15.792	20.2797	V	m15_data/M15-4_20191118_022559_d140_Nickel_V_c.fit
58805.100694	0.01389	15.78	15.767	15.793	19.39615	V	m15_data/M15-4_20191118_022500_d139_Nickel_V_c.fit
58794.150116	0.125	15.925	15.92	15.93	20.44065	V	m15_data/M15-4_20191107_033610_d144_Nickel_V_c.fit
58794.148958	0.04167	15.922	15.914	15.93	19.97329	V	m15_data/M15-4_20191107_033430_d143_Nickel_V_c.fit
58794.147303	0.01389	15.943	15.928	15.958	19.44933	V	m15_data/M15-4_20191107_033207_d142_Nickel_V_c.fit
58792.166412	0.125	15.372	15.364	15.38	20.17816	I	m15_data/M15-4_20191105_035938_d160_Nickel_I_c.fit
58792.144514	0.125	16.028	16.02	16.036	20.93594	V	m15_data/M15-4_20191105_032806_d155_Nickel_V_c.fit
58792.143345	0.04167	16.026	16.016	16.036	20.18129	V	m15_data/M15-4_20191105_032625_d154_Nickel_V_c.fit
58789.29081	0.125	16.013	16.007	16.019	20.23598	V	m15_data/M15-4_20191102_065846_d176_Nickel_V_c.fit
58789.289676	0.04167	15.984	15.974	15.994	19.65208	V	m15_data/M15-4_20191102_065708_d175_Nickel_V_c.fit
58789.289016	0.01389	16.001	15.983	16.019	18.97706	V	m15_data/M15-4_20191102_065611_d174_Nickel_V_c.fit
58789.194468	0.125	15.76	15.755	15.765	20.73661	V	m15_data/M15-4_20191102_044002_d156_Nickel_V_c.fit
58789.193229	0.04167	15.74	15.733	15.747	20.16005	V	m15_data/M15-4_20191102_043815_d155_Nickel_V_c.fit
58789.192106	0.01389	15.754	15.744	15.764	19.68625	V	m15_data/M15-4_20191102_043638_d154_Nickel_V_c.fit
58788.17235	0.125	16.114	16.109	16.119	20.42288	V	m15_data/M15-4_20191101_040811_d163_Nickel_V_c.fit
58788.171273	0.04167	16.092	16.082	16.102	19.86208	V	m15_data/M15-4_20191101_040638_d162_Nickel_V_c.fit
58788.170637	0.01389	16.151	16.135	16.167	19.18719	V	m15_data/M15-4_20191101_040543_d161_Nickel_V_c.fit
58779.257627	0.08333	15.685	15.68	15.69	20.16371	V	m15_data/M15-4_20191023_061059_d146_Nickel_V_c.fit
58779.256262	0.04167	15.687	15.68	15.694	19.7437	V	m15_data/M15-4_20191023_060901_d145_Nickel_V_c.fit
58779.255521	0.01389	15.688	15.676	15.7	18.92821	V	m15_data/M15-4_20191023_060757_d144_Nickel_V_c.fit
58775.277141	0.125	15.684	15.678	15.69	20.39735	V	m15_data/M15-4_20191019_063905_d151_Nickel_V_c.fit
58775.275637	0.04167	15.687	15.68	15.694	19.79329	V	m15_data/M15-4_20191019_063655_d150_Nickel_V_c.fit
58775.274583	0.01389	15.685	15.673	15.697	18.9123	V	m15_data/M15-4_20191019_063524_d149_Nickel_V_c.fit
58769.355752	0.125	16.071	16.061	16.081	19.39976	V	m15_data/M15-4_20191013_083217_d312_Nickel_V_c.fit
58769.354491	0.04167	16.058	16.044	16.072	18.82095	V	m15_data/M15-4_20191013_083028_d311_Nickel_V_c.fit
58769.353704	0.01389	16.035	16.008	16.062	18.28778	V	m15_data/M15-4_20191013_082920_d310_Nickel_V_c.fit
58768.317685	0.125	15.56	15.551	15.569	19.50638	V	m15_data/M15-4_20191012_073728_d187_Nickel_V_c.fit
58768.31647	0.04167	15.548	15.534	15.562	19.03647	V	m15_data/M15-4_20191012_073543_d186_Nickel_V_c.fit
58768.315498	0.01389	15.526	15.51	15.542	18.31678	V	m15_data/M15-4_20191012_073419_d185_Nickel_V_c.fit
58763.236493	0.125	16.304	16.124	16.484	16.1539	V	m15_data/M15-4_20191007_054033_d148_Nickel_V_c.fit
58759.22794	0.125	16.088	16.079	16.097	20.53845	V	m15_data/M15-4_20191003_052814_d148_Nickel_V_c.fit
58759.226505	0.04167	16.086	16.075	16.097	20.14217	V	m15_data/M15-4_20191003_052610_d147_Nickel_V_c.fit
58759.224919	0.01389	16.067	16.051	16.083	19.34911	V	m15_data/M15-4_20191003_052353_d146_Nickel_V_c.fit
58751.227743	0.125	15.727	15.721	15.733	21.13264	V	m15_data/M15-4_20190925_052757_d156_Nickel_V_c.fit
58751.226586	0.04167	15.725	15.719	15.731	20.34268	V	m15_data/M15-4_20190925_052617_d155_Nickel_V_c.fit
58751.225683	0.01389	15.708	15.696	15.72	19.66931	V	m15_data/M15-4_20190925_052459_d154_Nickel_V_c.fit
58746.388935	0.125	15.839	15.83	15.848	19.05353	V	m15_data/M15-4_20190920_092004_d139_Nickel_V_c.fit
58746.387836	0.04167	15.826	15.807	15.845	18.15477	V	m15_data/M15-4_20190920_091829_d138_Nickel_V_c.fit
58746.387153	0.01389	15.803	15.755	15.851	17.00426	V	m15_data/M15-4_20190920_091730_d137_Nickel_V_c.fit
58738.264363	0.125	15.945	15.937	15.953	19.92542	V	m15_data/M15-4_20190912_062041_d168_Nickel_V_c.fit
58738.263264	0.04167	15.956	15.944	15.968	19.23846	V	m15_data/M15-4_20190912_061906_d167_Nickel_V_c.fit
58738.26265	0.01389	15.962	15.944	15.98	18.71222	V	m15_data/M15-4_20190912_061813_d166_Nickel_V_c.fit
58735.312396	0.125	15.782	15.775	15.789	19.88885	V	m15_data/M15-4_20190909_072951_d164_Nickel_V_c.fit
58735.311227	0.04167	15.776	15.767	15.785	19.44633	V	m15_data/M15-4_20190909_072810_d163_Nickel_V_c.fit
58735.309977	0.01389	15.773	15.756	15.79	18.24602	V	m15_data/M15-4_20190909_072622_d162_Nickel_V_c.fit
58731.376412	0.125	16.116	16.11	16.122	20.7983	V	m15_data/M15-4_20190905_090202_d196_Nickel_V_c.fit
58731.375301	0.04167	16.126	16.117	16.135	20.25962	V	m15_data/M15-4_20190905_090026_d195_Nickel_V_c.fit
58731.374572	0.01389	16.113	16.097	16.129	19.49208	V	m15_data/M15-4_20190905_085923_d194_Nickel_V_c.fit
58731.196331	0.01389	15.75	15.738	15.762	19.49115	V	m15_data/M15-4_20190905_044243_d139_Nickel_V_c.fit
58731.194769	0.04167	15.72	15.712	15.728	20.10621	V	m15_data/M15-4_20190905_044028_d138_Nickel_V_c.fit
58731.191366	0.125	15.723	15.716	15.73	20.91279	V	m15_data/M15-4_20190905_043534_d137_Nickel_V_c.fit
58728.194456	0.08333	16.101	16.095	16.107	20.50038	V	m15_data/M15-4_20190902_044001_d164_Nickel_V_c.fit
58728.19338	0.04167	16.117	16.11	16.124	20.23651	V	m15_data/M15-4_20190902_043828_d163_Nickel_V_c.fit
58728.192708	0.01389	16.127	16.111	16.143	19.39126	V	m15_data/M15-4_20190902_043730_d162_Nickel_V_c.fit
58724.255579	0.125	15.839	15.832	15.846	20.49064	V	m15_data/M15-4_20190829_060802_d165_Nickel_V_c.fit
58724.254491	0.04167	15.846	15.837	15.855	19.8758	V	m15_data/M15-4_20190829_060628_d164_Nickel_V_c.fit
58724.253866	0.01389	15.846	15.83	15.862	19.13909	V	m15_data/M15-4_20190829_060534_d163_Nickel_V_c.fit
58721.317847	0.125	15.702	15.695	15.709	20.69812	V	m15_data/M15-4_20190826_073742_d158_Nickel_V_c.fit
58721.316354	0.04167	15.682	15.671	15.693	20.15991	V	m15_data/M15-4_20190826_073533_d157_Nickel_V_c.fit
58721.315694	0.01389	15.688	15.676	15.7	19.43992	V	m15_data/M15-4_20190826_073436_d156_Nickel_V_c.fit
58713.345579	0.125	16.004	15.997	16.011	19.52112	V	m15_data/M15-4_20190818_081738_d160_Nickel_V_c.fit
58713.34412	0.04167	15.99	15.98	16.0	19.1118	V	m15_data/M15-4_20190818_081532_d159_Nickel_V_c.fit
58713.343032	0.01389	15.995	15.973	16.017	18.09644	V	m15_data/M15-4_20190818_081358_d158_Nickel_V_c.fit
58708.306586	0.125	15.837	15.83	15.844	19.77739	V	m15_data/M15-4_20190813_072129_d169_Nickel_V_c.fit
58708.305127	0.04167	15.859	15.848	15.87	19.27572	V	m15_data/M15-4_20190813_071923_d168_Nickel_V_c.fit
58708.304236	0.01389	15.836	15.82	15.852	18.53444	V	m15_data/M15-4_20190813_071806_d167_Nickel_V_c.fit
58697.349352	0.125	15.837	15.831	15.843	19.72977	V	m15_data/M15-4_20190802_082304_d168_Nickel_V_c.fit
58697.346528	0.04167	15.855	15.844	15.866	19.16519	V	m15_data/M15-4_20190802_081900_d167_Nickel_V_c.fit
58697.345764	0.01389	15.826	15.812	15.84	18.44199	V	m15_data/M15-4_20190802_081754_d166_Nickel_V_c.fit
58694.371076	0.125	15.522	15.515	15.529	20.47935	V	m15_data/M15-4_20190730_085421_d148_Nickel_V_c.fit
58694.369954	0.04167	15.527	15.52	15.534	19.83235	V	m15_data/M15-4_20190730_085244_d147_Nickel_V_c.fit
58694.369213	0.01389	15.561	15.549	15.573	19.05422	V	m15_data/M15-4_20190730_085140_d146_Nickel_V_c.fit
58690.329896	0.125	15.873	15.867	15.879	20.68863	V	m15_data/M15-4_20190726_075503_d175_Nickel_V_c.fit
58690.328738	0.04167	15.877	15.869	15.885	20.08224	V	m15_data/M15-4_20190726_075323_d174_Nickel_V_c.fit
58690.328044	0.01389	15.856	15.844	15.868	19.27359	V	m15_data/M15-4_20190726_075223_d173_Nickel_V_c.fit
58683.328646	0.125	15.882	15.876	15.888	20.0774	V	m15_data/M15-4_20190719_075315_d152_Nickel_V_c.fit
58683.327512	0.04167	15.91	15.901	15.919	19.45419	V	m15_data/M15-4_20190719_075137_d151_Nickel_V_c.fit
58683.326725	0.01389	15.914	15.899	15.929	18.8059	V	m15_data/M15-4_20190719_075029_d150_Nickel_V_c.fit
58676.385498	0.125	15.736	15.728	15.744	20.77483	V	m15_data/M15-4_20190712_091507_d170_Nickel_V_c.fit
58676.383681	0.04167	15.738	15.727	15.749	20.34214	V	m15_data/M15-4_20190712_091230_d169_Nickel_V_c.fit
58676.38287	0.01389	15.729	15.717	15.741	19.55265	V	m15_data/M15-4_20190712_091120_d168_Nickel_V_c.fit
58672.486215	0.125	15.802	15.797	15.807	20.53242	V	m15_data/M15-4_20190708_114009_d219_Nickel_V_c.fit
58672.484792	0.04167	15.803	15.796	15.81	19.90956	V	m15_data/M15-4_20190708_113806_d218_Nickel_V_c.fit
58672.48397	0.01389	15.795	15.782	15.808	19.18209	V	m15_data/M15-4_20190708_113655_d217_Nickel_V_c.fit
58672.303356	0.125	16.047	16.041	16.053	19.53641	V	m15_data/M15-4_20190708_071650_d170_Nickel_V_c.fit
58672.301991	0.04167	16.056	16.044	16.068	18.82943	V	m15_data/M15-4_20190708_071452_d169_Nickel_V_c.fit
58672.301123	0.01389	16.035	16.011	16.059	18.12492	V	m15_data/M15-4_20190708_071337_d168_Nickel_V_c.fit
58664.413507	0.125	16.032	16.024	16.04	19.4615	V	m15_data/M15-4_20190630_095527_d197_Nickel_V_c.fit
