  Filter   RA_diff  DEC_diff    Mag_obs    Mag_cal  ref_in  Mag_diff  pct_im   std_obs      Diff
0      V  0.000105  0.000066  15.287983  15.273728       1  0.014255     1.0  0.014855  0.014255
1      V  0.000107  0.000079  15.442372  15.464006       1 -0.021634     1.0  0.012730  0.021634
2      V  0.000107  0.000066  15.530928  15.506678       1  0.024250     1.0  0.012090  0.024250
3      V  0.000082  0.000070  15.963761  15.992274       1 -0.028513     1.0  0.013641  0.028513
4      V  0.000090  0.000072  15.979094  15.990031       1 -0.010937     1.0  0.014745  0.010937
5      V  0.000092  0.000070  16.052094  16.048878       1  0.003216     1.0  0.013421  0.003216
6      V  0.000103  0.000065  16.496761  16.478746       1  0.018014     1.0  0.019075  0.018014
7      V  0.000097  0.000077  16.790150  16.790747       1 -0.000597     1.0  0.020650  0.000597
8      V  0.000100  0.000079  17.252872  17.252762       1  0.000110     1.0  0.031925  0.000110
0      B  0.000117  0.000065  15.979938  15.999304       1 -0.019366     1.0  0.020959  0.019366
1      B  0.000106  0.000078  16.258771  16.282690       1 -0.023919     1.0  0.030068  0.023919
2      B  0.000112  0.000061  16.351271  16.336071       1  0.015200     1.0  0.021838  0.015200
3      B  0.000089  0.000083  16.639827  16.603544       1  0.036283     1.0  0.030897  0.036283
4      B  0.000098  0.000073  16.173216  16.144276       1  0.028940     1.0  0.014571  0.028940
5      B  0.000098  0.000073  16.203271  16.181953       1  0.021318     1.0  0.012375  0.021318
6      B  0.000108  0.000065  17.220049  17.228918       1 -0.008869     1.0  0.032064  0.008869
7      B  0.000099  0.000077  17.512882  17.540920       1 -0.028038     1.0  0.054380  0.028038
8      B  0.000104  0.000076  17.925216  17.946262       1 -0.021047     1.0  0.052758  0.021047
0      R  0.000097  0.000069  14.831187  14.813179       1  0.018008     1.0       NaN  0.018008
1      R  0.000110  0.000079  14.922187  14.947308       1 -0.025120     1.0       NaN  0.025120
2      R  0.000102  0.000074  14.994187  14.983505       1  0.010682     1.0       NaN  0.010682
3      R  0.000068  0.000074  15.561187  15.600369       1 -0.039182     1.0       NaN  0.039182
4      R  0.000085  0.000073  15.867187  15.869383       1 -0.002196     1.0       NaN  0.002196
5      R  0.000089  0.000080  15.974187  15.940667       1  0.033520     1.0       NaN  0.033520
6      R  0.000091  0.000073  16.013187  16.003382       1  0.009806     1.0       NaN  0.009806
7      R  0.000093  0.000082  16.306187  16.315380       1 -0.009193     1.0       NaN  0.009193
8      R  0.000088  0.000080  16.815187  16.811504       1  0.003683     1.0       NaN  0.003683
