;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59058.467743	0.125	15.955	15.933	15.977	20.00808	V	m15_data/M15-2_20200728_111333_d228_Nickel_V_c.fit
59058.466412	0.04167	15.965	15.941	15.989	19.62797	V	m15_data/M15-2_20200728_111138_d227_Nickel_V_c.fit
59058.46537	0.01389	16.056	16.023	16.089	19.36178	V	m15_data/M15-2_20200728_111008_d226_Nickel_V_c.fit
59058.398889	0.125	15.914	15.89	15.938	20.21766	V	m15_data/M15-2_20200728_093424_d192_Nickel_V_c.fit
59058.397801	0.04167	15.899	15.875	15.923	19.91775	V	m15_data/M15-2_20200728_093250_d191_Nickel_V_c.fit
59058.396979	0.01389	15.951	15.923	15.979	19.52071	V	m15_data/M15-2_20200728_093139_d190_Nickel_V_c.fit
59054.418553	0.125	15.651	15.634	15.668	20.03085	V	m15_data/M15-2_20200724_100243_d201_Nickel_V_c.fit
59054.417454	0.04167	15.684	15.667	15.701	19.61841	V	m15_data/M15-2_20200724_100108_d200_Nickel_V_c.fit
59054.41669	0.01389	15.696	15.676	15.716	18.9729	V	m15_data/M15-2_20200724_100002_d199_Nickel_V_c.fit
59054.335255	0.125	15.938	15.916	15.96	19.90068	V	m15_data/M15-2_20200724_080246_d169_Nickel_V_c.fit
59054.333738	0.04167	15.964	15.94	15.988	19.62512	V	m15_data/M15-2_20200724_080035_d168_Nickel_V_c.fit
59054.332407	0.01389	15.935	15.912	15.958	18.64724	V	m15_data/M15-2_20200724_075840_d167_Nickel_V_c.fit
59051.331458	0.125	15.833	15.803	15.863	20.26059	V	m15_data/M15-2_20200721_075718_d150_Nickel_V_c.fit
59051.330185	0.04167	15.84	15.81	15.87	19.92634	V	m15_data/M15-2_20200721_075528_d149_Nickel_V_c.fit
59051.32956	0.01389	15.86	15.83	15.89	19.4186	V	m15_data/M15-2_20200721_075434_d148_Nickel_V_c.fit
59043.354873	0.125	15.916	15.885	15.947	20.0415	V	m15_data/M15-2_20200713_083101_d185_Nickel_V_c.fit
59043.353414	0.04167	15.922	15.897	15.947	19.74556	V	m15_data/M15-2_20200713_082855_d184_Nickel_V_c.fit
59043.350625	0.01389	15.881	15.853	15.909	19.08872	V	m15_data/M15-2_20200713_082454_d183_Nickel_V_c.fit
