;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59058.462199	0.125	13.473	13.446	13.5	20.86441	V	m15_data/M15-1_20200728_110534_d225_Nickel_V_c.fit
59058.460243	0.04167	13.413	13.394	13.432	20.40369	V	m15_data/M15-1_20200728_110245_d224_Nickel_V_c.fit
59058.459618	0.01389	13.408	13.385	13.431	19.52668	V	m15_data/M15-1_20200728_110151_d223_Nickel_V_c.fit
59058.431771	0.125	13.445	13.423	13.467	20.9113	V	m15_data/M15-1_20200728_102145_d205_Nickel_V_c.fit
59058.430694	0.04167	13.422	13.399	13.445	20.21748	V	m15_data/M15-1_20200728_102012_d204_Nickel_V_c.fit
59058.429352	0.01389	13.414	13.39	13.438	19.55481	V	m15_data/M15-1_20200728_101816_d203_Nickel_V_c.fit
59058.393079	0.125	13.451	13.434	13.468	21.06078	V	m15_data/M15-1_20200728_092602_d189_Nickel_V_c.fit
59058.39191	0.04167	13.433	13.412	13.454	20.4969	V	m15_data/M15-1_20200728_092421_d188_Nickel_V_c.fit
59058.391285	0.01389	13.403	13.381	13.425	19.68575	V	m15_data/M15-1_20200728_092327_d187_Nickel_V_c.fit
59058.360613	0.125	13.427	13.41	13.444	21.33827	V	m15_data/M15-1_20200728_083917_d173_Nickel_V_c.fit
59058.359537	0.04167	13.436	13.417	13.455	20.4208	V	m15_data/M15-1_20200728_083744_d172_Nickel_V_c.fit
59058.358148	0.01389	13.404	13.384	13.424	19.84268	V	m15_data/M15-1_20200728_083544_d171_Nickel_V_c.fit
59058.340995	0.125	13.459	13.444	13.474	20.86014	V	m15_data/M15-1_20200728_081102_d161_Nickel_V_c.fit
59058.339769	0.04167	13.447	13.43	13.464	20.24331	V	m15_data/M15-1_20200728_080916_d160_Nickel_V_c.fit
59058.339132	0.01389	13.446	13.43	13.462	19.829	V	m15_data/M15-1_20200728_080821_d159_Nickel_V_c.fit
59058.322269	0.125	13.464	13.449	13.479	20.79521	V	m15_data/M15-1_20200728_074404_d149_Nickel_V_c.fit
59058.321169	0.04167	13.447	13.432	13.462	20.20499	V	m15_data/M15-1_20200728_074229_d148_Nickel_V_c.fit
59058.320498	0.01389	13.494	13.479	13.509	19.38214	V	m15_data/M15-1_20200728_074131_d147_Nickel_V_c.fit
59058.317743	0.125	14.479	14.459	14.499	21.01885	B	m15_data/M15-1_20200728_073733_d146_Nickel_B_c.fit
59058.316632	0.04167	14.477	14.457	14.497	20.29533	B	m15_data/M15-1_20200728_073557_d145_Nickel_B_c.fit
59058.31559	0.01389	14.509	14.483	14.535	19.3093	B	m15_data/M15-1_20200728_073427_d144_Nickel_B_c.fit
