;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59058.462199	0.125	13.564	13.483	13.645	20.85718	V	m15_data/M15-1_20200728_110534_d225_Nickel_V_c.fit
59058.460243	0.04167	13.121	13.067	13.175	20.40369	V	m15_data/M15-1_20200728_110245_d224_Nickel_V_c.fit
59058.459618	0.01389	13.155	13.102	13.208	19.52668	V	m15_data/M15-1_20200728_110151_d223_Nickel_V_c.fit
59058.393079	0.125	13.913	13.819	14.007	21.06278	V	m15_data/M15-1_20200728_092602_d189_Nickel_V_c.fit
59058.39191	0.04167	13.173	13.118	13.228	20.4969	V	m15_data/M15-1_20200728_092421_d188_Nickel_V_c.fit
59054.413137	0.125	13.48	13.398	13.562	20.70314	V	m15_data/M15-1_20200724_095455_d198_Nickel_V_c.fit
59054.323796	0.04167	12.416	12.304	12.528	19.94437	V	m15_data/M15-1_20200724_074616_d165_Nickel_V_c.fit
59051.326296	0.125	13.473	13.402	13.544	20.95527	V	m15_data/M15-1_20200721_074952_d147_Nickel_V_c.fit
59051.325185	0.04167	13.035	12.969	13.101	20.31369	V	m15_data/M15-1_20200721_074816_d146_Nickel_V_c.fit
59051.324479	0.01389	13.053	12.993	13.113	19.49702	V	m15_data/M15-1_20200721_074715_d145_Nickel_V_c.fit
59043.345093	0.125	13.371	13.277	13.465	20.60797	V	m15_data/M15-1_20200713_081656_d182_Nickel_V_c.fit
59043.336412	0.04167	12.973	12.912	13.034	20.08604	V	m15_data/M15-1_20200713_080426_d179_Nickel_V_c.fit
59043.333889	0.01389	13.035	12.979	13.091	19.32683	V	m15_data/M15-1_20200713_080048_d178_Nickel_V_c.fit
59039.40191	0.125	13.559	13.491	13.627	20.28587	V	m15_data/M15-1_20200709_093845_d169_Nickel_V_c.fit
59039.400729	0.04167	13.158	13.103	13.213	19.69853	V	m15_data/M15-1_20200709_093703_d168_Nickel_V_c.fit
59039.400069	0.01389	13.217	13.162	13.272	19.02779	V	m15_data/M15-1_20200709_093606_d167_Nickel_V_c.fit
59030.444456	0.125	13.537	13.472	13.602	20.90962	V	m15_data/M15-1_20200630_104001_d181_Nickel_V_c.fit
59030.443368	0.04167	13.103	13.038	13.168	20.2932	V	m15_data/M15-1_20200630_103827_d180_Nickel_V_c.fit
59030.442639	0.01389	13.201	13.142	13.26	19.60051	V	m15_data/M15-1_20200630_103724_d179_Nickel_V_c.fit
59022.387766	0.01389	13.03	12.974	13.086	19.42143	V	m15_data/M15-1_20200622_091823_d131_Nickel_V_c.fit
59010.430127	0.125	13.651	13.585	13.717	20.94792	V	m15_data/M15-1_20200610_101923_d175_Nickel_V_c.fit
59010.428299	0.08333	13.224	13.158	13.29	20.79315	V	m15_data/M15-1_20200610_101645_d174_Nickel_V_c.fit
59010.427153	0.04167	13.288	13.231	13.345	20.3646	V	m15_data/M15-1_20200610_101506_d173_Nickel_V_c.fit
59010.425972	0.01389	13.289	13.232	13.346	19.6513	V	m15_data/M15-1_20200610_101324_d172_Nickel_V_c.fit
58994.491713	0.04167	12.522	12.464	12.58	20.05343	R	m15_data/M15-1_20200525_114804_d186_Nickel_R_c.fit
58994.454653	0.125	13.488	13.431	13.545	21.07573	V	m15_data/M15-1_20200525_105442_d165_Nickel_V_c.fit
58994.453356	0.04167	12.865	12.802	12.928	20.06718	V	m15_data/M15-1_20200525_105250_d164_Nickel_V_c.fit
58994.452639	0.01389	13.182	13.122	13.242	19.59616	V	m15_data/M15-1_20200525_105148_d163_Nickel_V_c.fit
58994.44941	0.125	14.202	14.133	14.271	21.2522	B	m15_data/M15-1_20200525_104709_d162_Nickel_B_c.fit
58990.483981	0.04167	12.954	12.895	13.013	19.96615	V	m15_data/M15-1_20200521_113656_d198_Nickel_V_c.fit
58990.483356	0.01389	12.485	12.387	12.583	19.10521	V	m15_data/M15-1_20200521_113602_d197_Nickel_V_c.fit
58974.496944	0.125	12.887	12.823	12.951	20.18521	V	m15_data/M15-1_20200505_115536_d189_Nickel_V_c.fit
58974.494896	0.01389	12.996	12.933	13.059	18.94745	V	m15_data/M15-1_20200505_115239_d187_Nickel_V_c.fit
58856.085069	0.04167	11.814	11.769	11.859	18.45767	V	m15_data/M15-1_20200108_020230_d129_Nickel_V_c.fit
58805.177431	0.01389	12.98	12.926	13.034	19.20308	V	m15_data/M15-1_20191118_041530_d158_Nickel_V_c.fit
58805.088241	0.125	13.474	13.407	13.541	20.84478	V	m15_data/M15-1_20191118_020704_d132_Nickel_V_c.fit
58805.08713	0.04167	13.081	13.024	13.138	20.21057	V	m15_data/M15-1_20191118_020528_d131_Nickel_V_c.fit
